authors,author_id,title,year,source_title,volume,issue,cited_by,author_keywords,index_keywords,document_type,article_no
Gautam A| Crandall J.W| Goodrich M.A.,57218202833|7004904337|7005513246|,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,2021,Advances in Intelligent Systems and Computing,1210 AISC,,431,Environment| Goal(s)| Intelligent agents| Proficiency| Self-assessment| System,Drones| Human engineering| Intelligent systems| Real time systems| Security of data| Autonomous systems| Causal relationships| Decision mechanism| Dependency graphs| Real-time application| Self assessment| Social robots,Conference Paper,0
de Moura Oliveira P.B| Hedengren J.D| Boaventura-Cunha J.,6508306234|9277159100|6507358470|,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,2021,Lecture Notes in Electrical Engineering,695 LNEE,,386,,"Automation| Cascade control systems| Computation theory| Process control| Soft computing| Students| Cascade control| Cascade control structure| Control concept| Control techniques| Engineering course| Proportional , integral and derivative controllers| Teaching/learning| Theory and practice| Control theory",Conference Paper,1
Hajimirzaie S.M| Hotchkiss R.H.,53879700900|26642910500|,Development of sediment management guidelines for small to medium reservoirs,2020,Journal of Hydraulic Engineering,146,12,662,,Hydraulics| Editorial board| Sediment management| Reservoir management| guideline| reservoir| sediment,Review,2
Bunnell S| Gorrell S| Salmon J| Thelin C| Ruoti C.,57204031131|6602649851|56830076500|57204029674|57204032253|,Structural design space exploration using principal component analysis,2020,Journal of Computing and Information Science in Engineering,20,6,664,Computer-aided engineering| Data-driven engineering,Compressors| Data handling| Structural design| Compressor blades| Computational costs| Design space exploration| Design variations| Geometric variations| Principal Components| Stress variations| Two-point correlation| Machine design,Article,3
Richardson M| Cannon S| Teichert L| Vance A| Kramer I| Barter M| King J| Callahan C.,57217149830|57217149403|57217145377|57217146534|57217147399|57217147006|57210571665|55611356500|,Religion-focused dating apps: A Q methodology study on the uses of mutual,2020,Telematics and Informatics,55,,304,Dating| Emerging adults| Mobile phones| Uses and gratifications,Entertainment| A-RINGS| External pressures| Romantic relationship| User motivation| Motivation,Article,4
Stanković A.M| Sarić A.A| Sarić A.T| Transtrum M.K.,57218886193|57210260262|6701777223|8448666000|,Interleaving physics- and data-driven models for power system transient dynamics,2020,Electric Power Systems Research,189,,139,Compressed sensing| Data-driven models| Koopman modes| Modeling| Physics-based models| Power system dynamics,Asynchronous generators| Compressed sensing| Computation theory| Computational geometry| Dynamic loads| Dynamics| Electric fault currents| Large scale systems| Computational data| Computational differential geometry| Doubly fed induction generators| Information geometry| Large-scale power systems| Power system transients| Transient phenomenon| Two-step procedure| Electric machine theory,Article,5
Hackney D| Goode T| Seng F| Pankow M| Schultz S| Peters K.,36149254500|57191155872|56681156600|35088650000|7201741468|7402786794|,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,2020,Optical Fiber Technology,60,,279,Back face deformation| Ballistic impact| Body armor| Fiber Bragg grating| Kevlar,Ballistics| Coatings| Fiber optic sensors| Fibers| Impact testing| Weaving| Backing materials| Ballistic impact testing| Ballistic Protection| Fiber Bragg Grating Sensors| High-velocity impact| Repeated impact| Strain information| Strain response| Fiber Bragg gratings,Article,6
Coburn J| Salmon J| Freeman I.,57191822951|56830076500|57188654880|,The effects of transition style for collaborative view sharing in immersive Virtual Reality,2020,Computers and Graphics (Pergamon),92,,643,Collaboration| Cybersickness| Immersive| Spatial awareness| Viewpoint| Viewpoint sharing| Virtual Reality,Economic and social effects| Location| Collaborative environments| Design environment| Immersive virtual environments| Immersive virtual reality| Location identification| Multiple transitions| Specific component| View locations| Virtual reality,Article,7
Švenda V.G| Stanković A.M| Sarić A.T| Transtrum M.K.,57192247939|57218886193|6701777223|8448666000|,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,2020,International Journal of Electrical Power and Energy Systems,122,,765,Co-simulation| Cyber-physical systems| ICT irregularities| Probabilistic observability| State estimation,Cyber Physical System| Embedded systems| Frequency estimation| State estimation| Bad data detections| Cyber physical systems (CPSs)| Hybrid state estimation| Information and Communication Technologies| Measuring instruments| Network observability| Probabilistic extension| Realistic communication| Phasor measurement units,Article,8
Walker Z| Wells T| Lay K| Sampad M.J.N| Schmidt H| Hawkins A.,57218593962|57218593446|57218591162|57201772566|16422844400|7102975249|,Solid-state membranes formed on natural menisci,2020,Nanotechnology,31,44,218,biosensors| membrane| microfabrication| microfluidics| nanopores,Etching| Photoresists| Polymers| Capillary action| Chemical vapor deposited| Nanoscale solids| Natural shapes| Sacrificial etching| Silicon substrates| Solid-state membranes| Suspended membranes| Membranes,Article,9
Wu F| Zhou Z| Temizel-Sekeryan S| Ghamkhar R| Hicks A.L.,57193338296|57194692502|57202017958|57205128747|55829396600|,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,2020,Journal of Cleaner Production,270,,741,Carbon nanotube| CO2 capture| Life cycle assessment| Payback period| Solid amine,Amines| Carbon dioxide| Carbon nanotubes| Climate change| Energy utilization| Environmental technology| Ethanolamines| Investments| Life cycle| Specific heat| Adsorption/desorption| Covalently bonded| High temperature| Industrial methods| Material synthesis| Monoethanolamine| Polyethyleneimine| Preparation phasis| Environmental impact,Article,10
Larsen B| Hunt J| Hovanski Y.,57201634652|57218685929|18535712500|,Investigating steel tool life in the RFSSW process,2020,Journal of Manufacturing Processes,58,,585,FSpW| Refill friction stir spot welding| RFSSW| Temperature| Tool life,Aerospace industry| Aluminum alloys| Aluminum coated steel| Automotive industry| Cleaning| Spot welding| Thermocouples| Tool steel| Welds| Effective tool| Friction stir spot welding| High temperature| Steel tools| Thin sheet| Tool materials| Tool surfaces| Weld temperature| Friction stir welding,Article,11
Peterson C.K| Casbeer D.W| Manyam S.G| Rasmussen S.,56248593800|10640480600|24923036100|7201675107|,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",2020,IEEE Robotics and Automation Letters,5,4,142,Cooperating robots| multi-robot systems| path planning for multiple mobile robots or agents,"Agricultural robots| Numerical methods| Trees (mathematics)| Coordinate ascent| Decentralized routing| Intelligence , surveillance , and reconnaissances| Limited communication| Monte-Carlo tree searches| Multiple autonomous vehicles| Myopic algorithm| Optimal solutions| Autonomous vehicles",Article,12
Hackney D.A| Goode T| Seng F| Schultz S| Pankow M| Peters K.,36149254500|57191155872|56681156600|7201741468|35088650000|7402786794|,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,2020,Optical Fiber Technology,59,,638,Fiber Bragg Grating| High speed measurements| Optical fiber sensors,Armor| Ballistics| Deformation| Energy dissipation| Failure (mechanical)| High speed cameras| Backing materials| Ballistic fabric| Fabric deformations| Face deformations| Optical interrogation| Spectral profile| Strain behaviors| Strain response| Fiber Bragg gratings,Article,13
Zou Z| Scott M.A| Miao D| Bischoff M| Oesterle B| Dornisch W.,56330168500|9942259800|57201257192|56260937200|57081918700|55487415500|,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,2020,Computer Methods in Applied Mechanics and Engineering,370,,233,Bézier extraction| Dual basis| Isogeometric analysis| Locking| Reissner–Mindlin| Shells,Degrees of freedom (mechanics)| Extraction| Functions| Linear systems| Quality control| Strain| Thin walled structures| Coarse meshes| Control meshes| Geometrically nonlinear| Interpolatory| Mixed approach| Orthogonality properties| Shear and membrane locking| Variational principles| Locks (fasteners),Article,14
Rice M| Clark B| Flanary D| Jensen B| Nelson N| Norman K| Perrins E| Harrison W.K.,7202083837|57210290270|57210288045|57210287166|57211254337|57210292389|57218761022|35147940600|,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,2020,IEEE Vehicular Technology Magazine,15,3,150,,Physical layer| Vehicle to infrastructure| Vehicles| Finite block length| Physical layer security| Reliable communication| Urban environments| Vehicle to infrastructure (V2I)| Vehicle to vehicle network (V2V)| Network security,Article,15
Hendricks L.J| Baxter J.S| Chou Y| Thomas M| Boekweg E| Guthrie W.S| Mazzeo B.A.,57201912667|7202282831|57218107757|57198832579|57218097969|7003302831|16066928300|,High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,2020,Journal of Nondestructive Evaluation,39,3,275,Acoustic| Concrete bridge deck| Delamination| Impact-echo| Sounding,Bridge decks| Computer architecture| Concrete bridges| Concretes| Data handling| Acoustic excitation| Data processing architecture| Detection and repairs| Inspection methods| Internal cracking| Long-term maintenances| Orders of magnitude| Sounding techniques| Repair,Article,16
Gardner J.W|57213342768|,"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",2020,Production and Operations Management,29,9,,765,,Article,,17
Mulford R.B| Salt S.D| Hyatt L.P| Meaker K.S| Dwivedi V.H| Jones M.R| Iverson B.D.,56584019300|57217581937|57214937519|57217581770|55542008600|56714263700|8608718200|,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",2020,Applied Thermal Engineering,178,,680,Active thermal control| Deployable radiator| Spacecraft thermal control,Aluminum| Energy efficiency| Heat losses| Hinges| Meteorology| Radiative Cooling| Thermal conductivity| Expansion and contraction| Experimental demonstrations| Experimental prototype| Operating temperature| Radiative heat loss| Spacecraft components| Spacecraft radiators| Vacuum environment| Radiators,Article,18
Chowdhury S| Zhuang H| Coleman S| Patala S| Bair J.,17341858700|42062742100|55802018400|36515506800|56735940800|,Quantum Materials for Energy-Efficient Computing,2020,JOM,72,9,472,,,Note,19
