,:ID;author:string
0,8960974;Paul Kocher
1,8960975;Daniel Genkin
2,8960976;Daniel Gruss
3,8960977;Werner Haas 0004
4,8960978;Mike Hamburg
5,8960979;Moritz Lipp
6,8960980;Stefan Mangard
7,8960981;Thomas Prescher 0002
8,8960982;Michael Schwarz 0001
9,8960983;Yuval Yarom
10,8960984;Frank Manola
11,8960985;Michael L. Brodie
12,8960986;Michael Stonebraker
13,8960987;Mark F. Hornick
14,8960988;Joe D. Morrison
15,8960989;Farshad Nayeri
16,8960990;Alejandro P. Buchmann
17,8960991;M. Tamer Özsu
18,8960992;Dimitrios Georgakopoulos
19,8960993;Sandra Heiler
20,8960994;Benjamin Hurwitz
21,8960995;David Beech
22,8960996;Cetin Ozbutun
23,8960997;Krishna G. Kulkarni
24,8960998;Jim Melton
25,8960999;Jonathan Bauer
26,8961000;Mike Kelley
27,8961001;Phil Shaw
28,8961002;Rolf Sander
29,8961003;Thomas Ludwig 0001
30,8961004;Werner Emde
31,8961005;Claus-Rainer Rollinger
32,8961006;Christoph Beierle
33,8961007;Udo Pletat
34,8961008;Hans Uszkoreit
35,8961009;Ulrike Rackow
36,8961010;Ido Dagan
37,8961011;Ulrike Schwall
38,8961012;Brigitte Bartsch-Spörl
39,8961013;Erich Gehlen
40,8961014;Burkhard Kehrbusch
41,8961015;Markus Höhfeld
42,8961016;Gert Smolka
43,8961017;Birgit Wesche
44,8961018;Christopher Habel
45,8961019;Bernd Walter
46,8961020;Michael Ley
47,8961021;Albert Maier
48,8961022;Stefan Benzschawel
49,8961023;Egon Börger
50,8961024;Roland Seiffert
51,8961025;Gisela Schöpke
52,8961026;Stefan Böttcher
53,8961027;Rudi Studer
54,8961028;Toni Bollinger
55,8961029;Carola Eschenbach
56,8961030;Manfred Schmidt-Schauß
57,8961031;Hans-Joachim Goltz
58,8961032;Otthein Herzog
59,8961033;Bernhard Beckert
60,8961034;Stefan J. Schierholz
61,8961035;Birgit Wendholt
62,8961036;Gudrun Klose
63,8961037;Michael Herweg
64,8961038;Mohammed Nadjib Khenkhar
65,8961039;Simone Pribbenow
66,8961040;Klaus Rehkämper
67,8961041;Anja Theuner
68,8961042;Peter H. Schmitt
69,8961043;Claudia Maienborn
70,8961044;Brigitte Bläser
71,8961045;Angelika Storrer
72,8961046;Esther König
73,8961047;Claudia Mrotzek
74,8961048;Stefan Börner
75,8961049;Lutz Voelkel
76,8961050;Kai-Uwe Carstensen
77,8961051;Ulrike Weiland
78,8961052;Martin Hübner
79,8961053;Michael Czymmeck
80,8961054;Michael Tarnowski
81,8961055;Helmar Gust
82,8961056;Petra Ludewig
83,8961057;Mechthild Rickheit
84,8961058;Kai von Luck
85,8961059;Elisabeth Neugebauer
86,8961060;Sitaram Lanka
87,8961061;Eric Mays
88,8961062;Petra Maier
89,8961063;Michel E. Adiba
90,8961064;Bruce G. Lindsay 0001
91,8961065;Ewald Lang
92,8961066;Thomas Pirlein
93,8961067;Gerd Kortüm
94,8961068;Ipke Wachsmuth
95,8961069;Ingrid Renz
96,8961070;Noam Paz
97,8961071;Kurt Eberle
98,8961072;Gregor Erbach
99,8961073;Christos Garidis
100,8961074;Jennifer A. Brundage
101,8961075;Maren Kresse
102,8961076;Eric Windisch
103,8961077;Peter Gerstl
104,8961078;Dines Bjørner
105,8961079;E. F. Codd
106,8961080;Kenneth L. Deckert
107,8961081;Irving L. Traiger
108,8961082;Sonja Müller
109,8961083;Rolf Mayer
110,8961084;Rüdiger Wirth
111,8961085;Holger M. Wittmann
112,8961086;Jan Wilms
113,8961087;Kai Lebeth
114,8961088;Bernd Abb
115,8961089;Jörg Heinrich
116,8961090;Andreas Eisele 0001
117,8961091;Jochen Dörre
118,8961092;Rainer Bäuerle
119,8961093;Sven Lorenz
120,8961094;Michael Klein
121,8961095;Robert S. Arnold
122,8961096;Jean-Marc Cadiou
123,8961097;Chin-Liang Chang
124,8961098;Nick Roussopoulos
125,8961099;Tibor Kiss
126,8961100;Wolfgang Wernecke
127,8961101;Ulrich Hedtstück
128,8961102;Petra Steffens
129,8961103;Manfred Grothaus
130,8961104;Karin Klabunde
131,8961105;Karl Dotzek
132,8961106;Sai Choi Kwan
133,8961107;H. Raymond Strong
134,8961108;Nikolaus Ott
135,8961109;F. Günthner
136,8961110;Siegfried Kanngießer
137,8961111;Christian Rohrer
138,8961112;Elisabeth Breidt
139,8961113;Oliver Wauschkuhn
140,8961114;Angi Voß
141,8961115;Ingo Raasch
142,8961116;Bernd I. Dahn
143,8961117;Theodor Lettmann
144,8961118;Wolfgang Schönfeld
145,8961119;Jim Gray 0001
146,8961120;Cesare A. Galtieri
147,8961121;Christoph Lingenfelder
148,8961122;Astrid Schmücker-Schend
149,8961123;Joachim Maier
150,8961124;Hinrich Schütze
151,8961125;Jörg H. Siekmann
152,8961126;Herbert J. Leass
153,8961127;Walter G. Olthoff
154,8961128;Reiner Hähnle
155,8961129;Stefan Gerberding
156,8961130;Werner Kernig
157,8961131;Gregor Meyer
158,8961132;Andreas Arning
159,8961133;Raymond A. Lorie
160,8961134;Bernhard Nebel
161,8961135;Petra Schulz
162,8961136;Sebastian Millies
163,8961137;Heiner Semle
164,8961138;Anne Schiller
165,8961139;M. Wermke
166,8961140;Karl-Hans Bläsius
167,8961141;Elke Busch
168,8961142;Jürgen Pietsch
169,8961143;R. Zieschank
170,8961144;D. Marx
171,8961145;P. Klug-Lier
172,8961146;Bernd Page
173,8961147;D. Eberle
174,8961148;Volker Jantzen
175,8961149;Ralph Scheubrein
176,8961150;William C. Rounds
177,8961151;Kurt Rothermel
178,8961152;Bart Geurts
179,8961153;Josef Gemander
180,8961154;Wilfried Hötker
181,8961155;Karel Oliva
182,8961156;Uwe Reyle
183,8961157;Jutta Kreiß
184,8961158;Jürgen Manowsky
185,8961159;Karl Schlechta
186,8961160;Geoffrey Simmons
187,8961161;Arne Pott
188,8961162;Rob A. van der Sandt
189,8961163;Vera Watson
190,8961164;Adrian Müller
191,8961165;Robert Dionne
192,8961166;Robert A. Weida
193,8961167;Peter Bosch
194,8961168;George Markowsky
195,8961169;Stefan Bayerl
196,8961170;Günther Görz
197,8961171;Kjell Johan Sæbø
198,8961172;Jean-Yves Lerner
199,8961173;Ulrich Schatz
200,8961174;Gosse Bouma
201,8961175;Raymond F. Boyce
202,8961176;Donald D. Chamberlin
203,8961177;Bradford W. Wade
204,8961178;Karin Neuhold
205,8961179;Richard Rödler
206,8961180;Gerd Hoff
207,8961181;Martin Mundhenk
208,8961182;Manfred Laumen
209,8961183;Christoph Meinel
210,8961184;Harald Sack
211,8961185;Volker Schillings
212,8961186;Carsten Damm
213,8961187;Martin Gugat
214,8961188;Nguyen V. Thoai
215,8961189;Friedemann Leibfritz
216,8961190;El-Sayed M. E. Mostafa
217,8961191;Belinda B. King
218,8961192;E. Arian
219,8961193;A. Battermann
220,8961194;Ekkehard W. Sachs
221,8961195;Peter Gritzmann
222,8961196;Victor Klee
223,8961197;John Westwater
224,8961198;Dieter Baum
225,8961199;Florian Jarre
226,8961200;Anna Slobodová
227,8961201;Rainer Tichatschke
228,8961202;Alexander Kaplan
229,8961203;Tim Voetmann
230,8961204;M. Böhm
231,8961205;Artur Czumaj
232,8961206;Przemyslawa Kanarek
233,8961207;Miroslaw Kutylowski
234,8961208;Krzysztof Lorys
235,8961209;Klaus Jansen
236,8961210;Klaus Lux
237,8961211;Markus Wiegelmann
238,8961212;Helmut Seidl
239,8961213;Christian Fecht
240,8961214;Jordan Gergov
241,8961215;Harald Luschgy
242,8961216;Matthias Heinkenschloss
243,8961217;Bernd Sturmfels
244,8961218;Christian Stangier
245,8961219;Arno Wagner
246,8961220;Mirjam Dür
247,8961221;Reiner Horst
248,8961222;Beniamino Di Martino
249,8961223;Christoph W. Keßler
250,8961224;Wei Zhou 0006
251,8961225;Anna Bernasconi 0001
252,8961226;Igor E. Shparlinski
253,8961227;Le Dung Muu
254,8961228;Kasyap Natarajan
255,8961229;Hubertus Th. Jongen
256,8961230;Oliver Stein
257,8961231;M. Nast
258,8961232;Lothar Breuer
259,8961233;Hannes Frey
260,8961234;Johannes K. Lehnert
261,8961235;Daniel Görgen
262,8961236;Peter Sturm 0001
263,8961237;Patrick Reuther
264,8961238;E. Levitin
265,8961239;Jürgen Huschens
266,8961240;Marco Fahl
267,8961241;Andreas Neumann 0001
268,8961242;Randal E. Bryant
269,8961243;Subhendu Bikash Hazra
270,8961244;Volker Schulz 0001
271,8961245;Elena Dubrova
272,8961246;Horst Schmitt
273,8961247;Peter Willems
274,8961248;Igor N. Kovalenko
275,8961249;R. J. Gardner
276,8961250;Dieter Prangenberg
277,8961251;János Sztrik
278,8961252;Oliver Möller
279,8961253;Ulrich Hertrampf
280,8961254;Thomas Burger
281,8961255;Jochen Bern
282,8961256;Heidi Jäger
283,8961257;Thomas Erlebach
284,8961258;Flemming Nielson
285,8961259;Gurami Tsitsiashvili
286,8961260;Patrick Justen
287,8961261;Klaus Schwettmann
288,8961262;Ulrich Raber
289,8961263;Fabio Somenzi
290,8961264;Thorsten Theobald
291,8961265;Abdelouahed Hamdi
292,8961266;Attahiru Sule Alfa
293,8961267;Siegfried Graf
294,8961268;Jens Hofmann 0001
295,8961269;Norbert Th. Müller
296,8961270;Jan-J. Rückmann
297,8961271;Volker Klotz
298,8961272;Dimitri Efrosinin
299,8961273;Vladimir Rykov
300,8961274;Hans L. Bodlaender
301,8961275;Gerhard J. Woeginger
302,8961276;Michael Ruvimovich Davidson
303,8961277;Stephan Waack
304,8961278;Holger Class
305,8961279;Rainer Helmig
306,8961280;Katja Lenz
307,8961281;Alexander Hufnagel
308,8961282;David G. Larman
309,8961283;D. Kleis
